reference,date,title,type,subject,status,url
2019/2076(DEC),2019-06-27,Décharge 2018 : Agence européenne pour la sécurité maritime (AESM),DEC,"[""8.70.03.08""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2019/2076(DEC)&l=fr
2021/2108(DEC),2021-06-30,Décharge 2020 : Budget général de l'UE - Conseil européen et Conseil,DEC,"[""8.70.03.10""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/2108(DEC)&l=fr
2022/0390(COD),2022-11-28,Étiquetage des aliments biologiques pour animaux familiers,COD,"[""3.10.09.04"", ""3.10.03"", ""3.70.17""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/0390(COD)&l=fr
2023/0138(COD),2023-04-26,Coordination efficace des politiques économiques et surveillance budgétaire multilatérale,COD,"[""5.10.01"", ""5.20.01""]",En attente de la position du Parlement en 1ère lecture,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/0138(COD)&l=fr
2020/2774(RSP),2020-09-15,"Résolution sur la préparation du Conseil européen extraordinaire, particulièrement l’escalade des tensions et le rôle de la Turquie en Méditerranée orientale",RSP,"[""8.40.14""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2774(RSP)&l=fr
2021/2226(BUI),2022-03-16,Orientations pour le budget 2023 - section III,BUI,"[""8.70.53""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/2226(BUI)&l=fr
2023/0338(NLE),2023-09-28,Accord de partenariat économique UE/Kenya,NLE,"[""Kenya"", ""Pays"", ""6.20.03""]",En attente de décision finale,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/0338(NLE)&l=fr
2023/2988(RSP),2023-11-22,Résolution sur l’absence de suites législatives données par la Commission à la résolution sur l’utilisation de Pegasus,RSP,"[""1.20.09"", ""3.30.07""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2988(RSP)&l=fr
2018/0419(NLE),2018-12-13,"Accord CE/’Islande/Norvège: critères et mécanismes permettant de déterminer l’État responsable de l’examen d’une demande d’asile introduite dans un État membre, en Islande ou en Norvège, concernant l’accès à Eurodac à des fins répressives. Protocole",NLE,"[""7.10.06"", ""7.30"", ""Islande"", ""Pays"", ""Norvège""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2018/0419(NLE)&l=fr
2020/0150(CNS),2020-07-24,"Taux réduit concernant certaines taxes indirectes sur le rhum «traditionnel» produit en Guadeloupe, en Guyane française, en Martinique et à La Réunion",CNS,"[""3.10.06.08"", ""2.70.02"", ""4.70.06"", ""France"", ""Pays""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/0150(CNS)&l=fr
